dbn,school_name
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts
03M541,Manhattan / Hunter Science High School
03M494,High School of Arts and Technology
03M299,The Maxine Greene High School for Imaginative Inquiry
03M492,"High School for Law, Advocacy and Community Justice"
03M859,Special Music School
03M307,"Urban Assembly School for Media Studies, The"
12X248,"Metropolitan High School, The"
08X332,Holcombe L. Rucker School of Community Research
12X479,Bronx Career and College Preparatory High School
08X530,Banana Kelly High School
12X267,Bronx Latin
01M292,Orchard Collegiate Academy (Henry Street School)
01M448,University Neighborhood High School
01M539,"New Explorations into Science, Technology and Math High School (NEST+m)"
01M696,Bard High School Early College
02M580,Richard R. Green High School of Teaching
02M425,Leadership and Public Service High School
02M316,"Urban Assembly School of Business for Young Women, The"
02M418,Millennium High School
02M475,Stuyvesant High School
02M489,High School of Economics and Finance
22K425,James Madison High School
22K535,Leon M. Goldstein High School for the Sciences
06M540,A. Philip Randolph Campus High School
05M367,Academy for Social Action
05M692,"High School for Mathematics, Science and Engineering at City College (HSMSE)"
05M369,Urban Assembly School for the Performing Arts
24Q585,Maspeth High School
12X321,Crotona Academy High School
07X600,Alfred E. Smith Career and Technical Education High School
07X473,Mott Haven Village Preparatory High School
07X522,Bronx Design and Construction Academy
07X495,University Heights Secondary School
07X500,Hostos-Lincoln Academy of Science
02M531,Repertory Company High School for Theatre Arts
02M529,Jacqueline Kennedy Onassis High School
21K525,Edward R. Murrow High School
05M362,Columbia Secondary School
09X297,Morris Academy for Collaborative Studies
08X559,School for Tourism and Hospitality
09X404,School for Excellence
09X403,Bronx International High School
09X543,High School for Violin and Dance
07X221,South Bronx Preparatory: A College Board School
07X551,The Urban Assembly Bronx Academy of Letters
07X259,"HERO High (Health, Education, and Research Occupations High School)"
07X223,M.S. 223 The Laboratory School of Finance and Technology
07X334,International Community High School
09X568,Young Women's Leadership School of the Bronx (TYWLS)
10X225,Theater Arts Production Company School (TaPCO)
25Q263,Flushing International High School
02M427,Manhattan Academy for Arts & Language
02M432,Murray Hill Academy
02M500,Unity Center for Urban Technologies
31R600,Ralph R. McKee Career and Technical Education High School
31R450,Curtis High School
23K644,Eagle Academy for Young Men II
31R605,Staten Island Technical High School
31R440,New Dorp High School
26Q415,Benjamin N. Cardozo High School
23K493,Brooklyn Collegiate: A College Board School
30Q286,"Young Women's Leadership School, Astoria (TYWLS)"
27Q308,Robert H. Goddard High School of Communication Arts and Technology
15K684,Millennium Brooklyn HS
15K464,Park Slope Collegiate
15K462,John Jay School for Law (Secondary School for Law)
15K463,Secondary School for Journalism
11X418,Bronx High School for the Visual Arts
31R445,Port Richmond High School
17K546,High School for Public Service: Heroes of Tomorrow
17K531,The School for Human Rights
18K589,Arts & Media Preparatory Academy
17K745,Brooklyn Institute for Liberal Arts (BILA)
17K533,School for Democracy and Leadership
30Q258,Energy Tech High School
30Q580,Baccalaureate School for Global Education
30Q555,Newcomers High School
30Q575,Academy of American Studies
27Q475,Richmond Hill High School
27Q650,"High School for Construction Trades, Engineering and Architecture"
27Q334,Epic High School - North
24Q485,Grover Cleveland High School
08X349,Bronx River High School
08X405,Herbert H. Lehman High School
08X558,Westchester Square Academy
08X348,Schuylerville Preparatory High School
08X293,Renaissance High School for Musical Theater & Technology
08X320,Pelham Lab High School
21K728,Liberation Diploma Plus High School
22K611,Origins High School
22K630,Professional Pathways High School
02M376,NYC iSchool
02M615,Chelsea Career and Technical Education High School
28Q284,York Early College Academy
27Q314,Epic High School - South
27Q480,John Adams High School
29Q265,Excelsior Preparatory High School
29Q272,George Washington Carver High School for the Sciences
29Q283,Preparatory Academy for Writers: A College Board School
27Q400,August Martin High School
29Q248,Queens Preparatory Academy
10X368,In-Tech Academy (M.S. / High School 368)
10X213,Bronx Engineering and Technology Academy
10X284,Bronx School of Law and Finance
10X546,Bronx Theatre High School
10X477,Marble Hill High School for International Studies
29Q327,Eagle Academy for Young Men III
15K667,Sunset Park High School
31R080,The Michael J. Petrides School
31R047,CSI High School for International Studies
31R460,Susan E. Wagner High School
31R064,Gaynor McCown Expeditionary Learning School
09X365,Academy for Language and Technology
03M403,The Global Learning Collaborative
03M417,Frank McCourt High School
03M402,The Urban Assembly School for Green Careers
10X442,"Celia Cruz Bronx High School of Music, The"
10X353,World View High School
10X433,High School for Teaching and the Professions
10X445,Bronx High School of Science
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions"
10X351,Bronx Collaborative High School
10X342,International School for Liberal Arts
10X440,DeWitt Clinton High School
10X696,High School of American Studies at Lehman College
10X549,Discovery High School
10X268,Kingsbridge International High School
06M348,Washington Heights Expeditionary Learning School (WHEELS)
06M462,The College Academy
06M468,High School for Health Careers and Sciences
06M467,High School for Law and Public Service
06M463,High School for Media and Communications
06M293,City College Academy of the Arts
06M346,Community Health Academy of the Heights
06M552,Gregorio Luperon High School for Science and Mathematics
21K344,Rachel Carson High School for Coastal Studies
21K410,Abraham Lincoln High School
07X427,Community School for Social Justice
09X327,Comprehensive Model School Project M.S. 327
07X670,Health Opportunities High School
12X478,The Cinema School
12X550,High School of World Cultures
12X242,Mott Hall V
12X388,Pan American International High School at Monroe
12X692,Monroe Academy for Visual Arts & Design
12X521,The Metropolitan Soundview High School
02M534,Harvest Collegiate High School
11X270,Academy for Scholarship and Entrepreneurship: A College Board School
11X513,New World High School
11X545,Bronx Aerospace High School
11X253,Bronx High School for Writing and Communication Arts
11X514,The Bronxwood Preparatory Academy
11X290,Bronx Academy of Health Careers
11X275,High School of Computers and Technology
11X544,High School for Contemporary Arts
11X265,Bronx Lab School
14K558,Williamsburg High School for Architecture and Design
14K561,Williamsburg Preparatory School
14K071,Juan Morel Campos Secondary School
14K488,Brooklyn Preparatory High School
14K632,Greenpoint Art and Technical High School (Frances Perkins Academy)
14K610,Automotive High School
14K685,El Puente Academy for Peace and Justice
22K555,Brooklyn College Academy
02M655,Life Sciences Secondary School
