dbn,schoolname,rr_s,rr_t,rr_p,N_s,N_t,N_p,nr_s,nr_t,nr_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
16K308,P.S. 308 Clara Cardwell,96,67,25,246,37,136,257,55,535,8.1,7.6,7.4,8,7.1,5.7,6.5,7.3,6.3,6.2,7,7.7,7.1,6.5,7,7.7
16K309,P.S. 309 The George E. Wibecan Preparatory Academy,97,82,35,208,0,36,255,8.7,8.2,8.3,8.4,7.5,7.3,7.1,7.6,8.1,7.7,7.7,8
16K335,P.S. 335 Granville T. Woods,88,35,37,126,0,42,364,8.7,8.2,8,8.6,7.6,7.6,8,8.2,8.1,7.9,8,8.4
16K385,"School of Business, Finance and Entrepreneurship",73,75,8,155,18,17,212,24,201,7.4,7,6.7,7.6,7.2,7,7.6,8.1,5.8,6,6.5,7.5,6.7,6.6,7,7.8
16K393,Frederick Douglass Academy IV Secondary School,81,92,29,372,36,124,460,39,424,7.9,7.2,7.2,7.5,6.2,6,6.3,6.8,6.1,5.5,6.6,7.3,6.7,6.2,6.7,7.2
16K455,Boys and Girls High School,61,76,16,1146,70,282,1881,92,1755,7.1,7.3,7.4,7.1,5.9,5.8,6.5,6.7,6.1,6,6.7,7.2,6.4,6.4,6.8,7
16K498,ACORN High School for Social Justice,56,33,16,215,8,60,386,24,380,8.5,7.3,7.2,7.5,7,7.3,7.5,8,6.4,5.8,6.2,7.1,7.3,6.8,7,7.5
16K534,Upper School @ P.S. 25,85,90,49,185,19,99,218,21,202,8,7.5,7.5,7.7,6.6,6.1,6.9,7.2,5.9,5.9,6.4,7,6.8,6.5,6.9,7.3
16K584,M.S. 584,98,71,38,214,15,79,219,21,207,8.4,7.8,7.7,8,5.9,6.2,6.6,7.2,6,6.1,6.7,7.4,6.8,6.7,7,7.5
16K594,Gotham Professional Arts Academy,76,86,4,208,19,10,275,22,263,8.6,9,8.2,9,4.9,5,5.6,6.3,5.8,5.9,6.6,7.5,6,6.2,6.5,7.3
16K627,Brighter Choice Community School,100,100,9,111,0,9,109,9.4,8.8,8.7,8.9,8.3,8.2,7.9,8,8.9,8.5,8.3,8.4
16K628,Brooklyn Brownstone School,100,94,9,126,0,9,134,8.4,9,8.6,9.4,8.5,8.1,8.7,8.8,8.5,8.5,8.6,9.1
16K636,Young Scholars' Academy for Discovery and Explorat,100,95,17,162,0,17,170,9.2,8.8,8.8,9.1,8.7,8.1,8.2,8.4,9,8.4,8.5,8.8
16K688,The Brooklyn Academy of Global Finance,76,100,17,99,12,22,131,12,127,6,5.8,5.7,6.2,3.9,1.9,3.8,3.6,4.9,5.8,5.4,6.8,4.9,4.5,5,5.6
17K002,M.S. 002,96,80,44,374,28,164,390,35,376,8,7.8,7.7,7.9,7.2,7.7,8.4,8.7,7.8,7.8,8.4,8.7,7.7,7.8,8.2,8.4
17K006,P.S. 006,62,21,31,116,0,50,551,8.4,7.6,7.5,7.7,8.1,7,7.4,8,8.3,7.3,7.4,7.8
17K012,P.S. 012,48,50,14,106,0,29,211,8.6,8,7.9,8.4,7.3,6.5,6.7,6.9,7.9,7.2,7.3,7.7
17K022,P.S. 022,49,50,21,225,0,43,447,8.2,7.5,7.5,7.6,5.9,4,4.6,5.8,7.1,5.8,6,6.7
17K061,M.S. 061 Dr. Gladstone H. Atwell,87,78,24,966,61,252,1109,78,1061,7.8,7.1,7.2,7.6,6.9,6.7,7.2,7.8,5.6,5.8,6.7,7.6,6.8,6.5,7,7.7
17K091,P.S. 091 The Albany Avenue School,82,67,50,422,0,61,632,7.9,7.6,7.5,7.7,6.2,6.3,6.5,7,7,6.9,7,7.4
17K092,P.S. 092 Adrian Hegeman,50,42,23,215,0,46,509,8.6,7.9,7.6,8.2,8,8.1,7.8,8.4,8.3,8,7.7,8.3
17K138,P.S. 138 Brooklyn,82,77,56,272,56,428,330,73,760,8,8.4,8.2,8.5,6.9,7.5,7.5,8.3,6.5,6.9,7.6,8.2,7.1,7.6,7.7,8.3
17K161,P.S. 161 The Crown,94,60,66,136,35,496,144,58,753,8,7.6,7.4,8,6.3,6.1,5.8,6.7,5.8,5.7,6.7,7.4,6.7,6.5,6.6,7.4
17K167,P.S. 167 The Parkway,68,40,28,160,0,41,402,8.1,7.6,7.7,8,5.9,5.6,6,6.9,7,6.6,6.8,7.4
17K181,P.S. 181 Brooklyn,82,74,21,221,68,210,268,92,988,8,7.1,7.3,7.9,6.3,4.9,5.2,5.6,5.5,5.8,6.7,7.5,6.6,5.9,6.4,7
17K189,P.S. 189 Lincoln Terrace,91,59,68,449,47,665,492,80,977,8.4,7.8,7.6,8.1,7.8,7.6,7.7,8.4,6.2,5.8,6.9,7.8,7.4,7.1,7.4,8.1
17K191,P.S. 191 Paul Robeson,38,50,9,107,0,24,213,8.4,7.8,7.6,7.9,8.6,7.7,8.6,8.8,8.5,7.8,8.1,8.3
17K221,P.S. 221 Toussaint L'Ouverture,65,49,32,226,0,49,460,8.4,7.8,7.8,8.1,7.9,8.2,8.5,8.9,8.1,8,8.2,8.5
17K241,P.S. 241 Emma L. Johnston,80,71,39,367,0,49,518,8.5,7.9,7.7,8.4,7.6,7.1,7.4,7.7,8,7.5,7.5,8
17K246,M.S. 246 Walt Whitman,91,69,41,540,40,224,595,58,541,8,7.6,7.4,7.8,6.4,6,6.5,7.2,5.6,5.7,6.4,7.3,6.7,6.4,6.8,7.4
17K249,P.S. 249 The Caton,100,89,51,564,0,51,634,9.2,8.6,8.5,8.8,8.8,8.4,8.5,9.1,9,8.5,8.5,9
17K289,P.S. 289 George V. Brower,48,54,29,291,0,60,536,8.1,7.7,7.5,8.1,7.1,7.1,7.1,7.6,7.6,7.4,7.3,7.9
17K316,P.S. 316 Elijah Stroud,48,76,12,173,0,25,228,8.8,8.2,8.1,8.2,6.7,5.8,6,7,7.8,7,7.1,7.6
17K334,Middle School for Academic and Social Excellence,88,100,25,197,19,55,224,19,216,8.1,7.9,7.5,8.1,6.3,3.5,5.3,6.1,5.8,6.5,6.9,7.7,6.7,6,6.5,7.3
17K340,I.S. 340,99,53,51,268,10,134,270,19,263,8.5,7.8,7.8,8,6.8,6,6.2,7.2,5.9,6,6.3,7.3,7,6.6,6.8,7.5
17K352,Ebbets Field Middle School,93,83,61,370,33,219,397,40,358,8,8,8,7.7,6.7,6.1,7.1,7,6,5.9,6.8,7.5,6.9,6.6,7.3,7.4
17K353,Elijah Stroud Middle School,96,93,96,132,13,131,138,14,136,8.7,8.4,8,8.2,7.8,7.3,8.2,8.6,6.2,6,6.7,7.5,7.6,7.2,7.6,8.1
17K354,The School of Integrated Learning,98,96,74,244,24,174,249,25,234,8.3,7.9,8,8.3,7.2,6.6,7,7.8,6.1,5.7,6.7,7.6,7.2,6.7,7.2,7.9
17K375,P.S. 375 Jackie-Robinson School,100,81,43,363,0,43,450,8.8,8.1,8.1,8.4,8.2,8.1,8.1,8.5,8.5,8.1,8.1,8.5
17K382,Academy for College Preparation and Career Explora,67,69,10,350,25,51,524,36,500,7,6.6,6.7,6.9,6.6,6.5,6.8,7.5,5.5,5.5,6,6.9,6.4,6.2,6.5,7.1
17K394,M.S. K394,98,96,60,227,51,343,232,53,576,8.4,7.9,7.6,8.2,8,8.1,8.4,8.8,7,6.6,7.6,8.2,7.8,7.5,7.9,8.4
17K397,P.S. 397 Foster-Laurie,90,65,28,202,0,31,313,8.9,8.3,8.1,8.7,7.9,6.6,7.1,7.7,8.4,7.4,7.6,8.2
17K398,P.S. 398 Walter Weaver,69,66,22,188,0,32,284,8.3,7.9,8,8.2,6.8,5.9,6.2,6.9,7.5,6.9,7.1,7.5
17K399,P.S. 399 Stanley Eugene Clark,60,55,18,246,0,30,451,8.9,8.2,8.1,8.6,8.6,7.7,8.4,9,8.8,8,8.3,8.8
17K408,Academy of Hospitality and Tourism,74,95,78,210,21,220,284,22,281,7,7.6,7.6,7.8,7.4,8.4,8.7,8.9,5.5,5.8,6.4,7.3,6.6,7.3,7.6,8
17K467,Erasmus Yabc,85,100,76,152,23,138,179,23,182,8.9,7.4,7.5,7.5,7.8,7.5,7.8,8,7.5,5.9,7,7.6,8.1,6.9,7.4,7.7
17K484,Ronald Edmonds Learning Center II,88,43,4,145,6,7,164,14,162,5.3,7.3,7,7.2,7.3,8.2,8.3,8.5,6.5,6.2,7.2,7.8,6.6,7.2,7.6,8
17K489,W.E.B. Dubois Academic High School,59,89,22,126,16,48,214,18,220,8.7,7.9,8,8.1,6.3,6.9,6.9,7.3,6.7,5.9,6.9,7.5,7.2,6.9,7.3,7.6
17K524,International High School at Prospect Heights,82,100,34,322,32,124,395,32,369,8.6,7.9,7.7,8.1,7.7,6.2,7.4,8,7.4,6.8,7.3,7.7,7.9,7,7.5,7.9
17K528,The High School for Global Citizenship,36,48,28,129,10,99,359,21,349,7.4,7.5,7,7.3,5.2,4.3,5.4,6.1,6.1,6,6.1,6.8,6.2,5.9,6.1,6.8
17K531,"School for Human Rights, The",95,96,35,351,24,124,368,25,357,8.6,8.2,8.2,8.3,9,8.5,9.1,9.2,6.8,6.5,7.2,7.8,8.1,7.7,8.1,8.4
17K533,School for Democracy and Leadership,83,92,25,340,34,93,412,37,378,7.5,7.8,7.4,7.4,5,5.7,5.6,5.9,5.6,5.9,6.3,7.2,6,6.5,6.4,6.8
17K537,High School for Youth and Community Development at,88,87,51,326,20,181,370,23,357,7.1,7.5,7.3,7.8,6.3,6.5,7.5,8.1,5.5,5.7,6,6.8,6.3,6.6,6.9,7.6
17K539,High School for Service & Learning at Erasmus,89,96,44,348,24,164,389,25,377,7.6,7.7,7.4,8,7.6,8,8.2,8.7,5.5,5.6,6.2,7.1,6.9,7.1,7.3,7.9
17K543,"Science, Technology and Research Early College Hig",95,66,92,474,19,444,497,29,484,8.9,8.5,8.5,8.7,6.5,5.2,6.1,7,6.6,5.9,6.7,7.4,7.4,6.5,7.1,7.7
17K544,International Arts Business School,83,59,11,355,20,44,426,34,410,7.1,7,7,7.1,5.1,5.3,5.1,5.5,5.4,5.5,5.8,6.6,5.9,5.9,6,6.4
17K546,High School for Public Service: Heroes of Tomorro,83,43,29,329,10,112,398,23,391,8.7,8,7.9,8.6,7.9,6.5,7.2,7.7,6.4,6,6.5,7.6,7.7,6.8,7.2,8
17K547,Brooklyn Academy of Science and the Environment,72,94,20,308,30,84,425,32,413,7.8,7.7,7.6,7.7,5.8,5.6,6.5,6.6,5.7,5.9,6.1,7,6.4,6.4,6.7,7.1
17K548,Brooklyn School for Music & Theatre,80,89,41,305,24,153,380,27,372,7.2,7.1,7.1,7.4,6.5,6.3,6.9,7.1,5.9,6.1,6.6,7.4,6.5,6.5,6.9,7.3
17K568,Brownsville Academy High School,64,94,41,96,16,61,151,17,148,9.4,8.8,8.9,9.1,8.1,8.1,8.3,8.7,8.5,7.5,8.5,8.9,8.7,8.2,8.6,8.9
17K587,Middle School for the Arts,83,91,43,303,29,149,364,32,345,8.4,7.7,7.9,7.8,6.3,6.7,7.1,7.7,5.3,5.8,6.6,7.1,6.6,6.7,7.2,7.5
17K590,Medgar Evers College Preparatory School,71,20,57,723,10,562,1023,50,991,8.9,8.1,8.2,8.5,8.6,8.8,8.7,9,5.7,5.3,6.2,7.3,7.8,7.4,7.7,8.3
17K600,Clara Barton High School,88,93,33,1455,100,527,1656,108,1620,7.4,6.8,7.1,7.1,7.3,5.9,6.6,7.2,5.9,5.4,6,6.9,6.9,6,6.5,7.1
17K625,Paul Robeson High School,52,90,16,294,36,89,561,40,543,8,7.8,7.7,7.8,5.6,5.3,5.9,6.4,6.4,6,6.7,7.4,6.7,6.4,6.8,7.2
17K770,P.S. 770 New American Academy,71,42,5,42,0,7,99,8.5,7.6,7.8,7.5,7.4,7.3,8,8,7.9,7.4,7.9,7.8
18K066,P.S. 66,95,98,50,267,46,295,282,47,586,8.8,8.1,7.9,8.3,8,7.8,8,8.4,6.2,5.8,6.5,7.4,7.7,7.2,7.5,8
18K068,I.S. 068 Isaac Bildersee,90,93,40,818,63,337,904,68,833,7.5,7.6,7.3,7.7,6.3,6.3,6.5,7.3,5.4,5.4,6.1,7.3,6.4,6.4,6.7,7.4
18K114,P.S. 114 Ryder Elementary,98,59,51,342,0,52,583,8.3,7.8,7.5,8.2,6.9,5.7,5.6,6.5,7.6,6.7,6.6,7.4
18K115,P.S. 115 Daniel Mucatel School,74,64,57,648,0,77,1020,8.4,7.8,7.9,8.1,5.9,6.4,6.9,7.2,7.2,7.1,7.4,7.6
18K135,P.S. 135 Sheldon A. Brookner,72,59,38,380,0,53,643,8.7,8.2,7.9,8.5,7.6,7.2,7.4,7.8,8.1,7.7,7.7,8.1
18K208,P.S. 208 Elsa Ebeling,83,58,33,289,0,40,501,8.8,8.2,8,8.4,7.8,8,8.4,8.8,8.3,8.1,8.2,8.6
18K211,I.S. 211 John Wilson,75,63,97,616,38,754,821,60,780,9.4,8.8,9.2,9,6.6,6.6,6.7,7.6,5.9,6,6.8,7.5,7.3,7.1,7.5,8
18K219,P.S. 219 Kennedy-King,63,65,40,399,0,63,618,8.2,7.8,7.7,8,7.1,6.6,6.7,7.6,7.7,7.2,7.2,7.8
18K233,P.S. 233 Langston Hughes,98,67,49,367,0,50,551,8.4,7.9,7.8,8.3,7,7.2,7.7,8,7.7,7.5,7.7,8.1
18K235,P.S. 235 Lenox School,98,77,24,278,62,283,283,81,1182,8.2,7.4,7.3,7.7,8.4,8.1,8.2,8.6,6.7,5.9,6.7,7.8,7.7,7.1,7.4,8.1
18K244,P.S. 244 Richard R. Green,70,42,51,271,0,73,639,8.7,7.7,7.9,8.2,8.7,8.8,8.9,9.1,8.7,8.2,8.4,8.6
18K268,P.S. 268 Emma Lazarus,88,75,37,322,0,42,431,8.6,8,7.8,8.2,7.6,7.7,7.8,8.3,8.1,7.9,7.8,8.2
18K272,P.S. 272 Curtis Estabrook,59,48,34,280,0,58,586,8.4,7.7,7.6,8.2,6.5,6.5,6.8,7.1,7.5,7.1,7.2,7.6
18K276,P.S. 276 Louis Marshall,97,85,64,541,0,66,639,8.3,8,7.9,8.1,6.8,7.2,7,7.7,7.5,7.6,7.4,7.9
18K279,P.S. 279 Herman Schreiber,65,29,28,147,0,43,507,8.3,8,8,8.1,6.1,4.8,5,6.5,7.2,6.4,6.5,7.3
18K285,I.S. 285 Meyer Levin,92,81,49,846,51,425,921,63,872,7.6,7,7,7.2,7.4,7.1,7.7,8.2,5.6,5.3,6,7.3,6.8,6.5,6.9,7.6
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,96,100,92,193,19,182,201,19,198,9,8.4,8.4,8.3,7.4,7.7,8.2,8.6,6.2,6.3,6.9,7.6,7.6,7.5,7.8,8.2
18K500,Canarsie High School,67,82,6,185,14,17,278,17,275,7.3,6.5,6.3,6.5,7.2,6.5,6.6,7,6.5,5.4,6.2,6.6,6.9,6.1,6.4,6.7
18K501,Learning To Work Yabc At Canarsie High School,53,88,32,86,22,54,161,25,167,8.9,8.4,8.2,8.7,8.3,8.8,8.8,9,7.7,6.4,7.4,7.8,8.3,7.8,8.2,8.5
18K563,It Takes a Village Academy,90,100,62,328,30,212,364,30,343,8.3,8.1,8.1,8.1,8,7.7,8.2,8.8,6.1,5.8,6.9,7.4,7.5,7.2,7.7,8.1
18K566,Brooklyn Generation School,77,42,13,224,8,36,292,19,282,8.2,7.9,7.6,8,5.5,4,5.5,5.9,6,5.7,5.9,6.8,6.6,5.9,6.3,6.9
18K567,Brooklyn Theatre Arts High School,92,100,28,300,22,89,326,22,320,8.2,7.3,7.4,7.6,6.8,7,7.2,7.9,5.8,6,6.4,7,6.9,6.8,7,7.5
18K569,Kurt Hahn Expeditionary Learning School,80,83,30,232,19,82,289,23,274,8,7.7,7.6,7.7,6.2,7.3,7.5,7.8,6.3,5.9,6.4,7,6.8,7,7.1,7.5
18K576,Victory Collegiate High School,76,67,30,245,16,92,322,24,309,8.4,7.5,7.5,8,7.5,7,7.4,8.7,6.6,6.3,6.7,7.6,7.5,6.9,7.2,8.1
18K578,Brooklyn Bridge Academy,38,72,45,79,13,94,210,18,209,8,7.9,7.7,8.3,5.8,4.5,5.8,6.1,7.1,7,7.3,7.9,7,6.5,6.9,7.4
18K581,East Flatbush Community Research School,87,97,72,201,28,162,231,29,225,7.7,7.5,7.5,7.7,6,6.7,7.1,7.2,5.6,6.2,6.6,7.3,6.4,6.8,7.1,7.4
18K588,Middle School for Art and Philosophy,84,86,48,284,24,152,337,28,316,7.4,7.3,7.4,7.3,5.4,4.4,5,5.9,5.2,5.8,6.2,7.1,6,5.8,6.2,6.8
18K589,Arts & Media Preparatory Academy,67,73,33,164,16,80,245,22,242,8.3,7.5,7.3,7.9,6.7,5.9,6.4,6.9,6.2,6.2,6.4,7.2,7.1,6.5,6.7,7.3
18K598,Middle School of Marketing and Legal Studies,81,100,53,263,23,166,325,21,314,8.8,8.3,8.4,8.3,7.6,7.9,8.1,8.5,6.6,6.6,7.3,8.3,7.7,7.6,7.9,8.3
18K617,High School for Innovation in Advertising and Medi,44,95,20,104,21,45,235,22,228,8.4,7.9,7.7,8.2,7.2,6.1,6.8,6.9,6.6,6.4,7,7.7,7.4,6.8,7.2,7.6
18K629,Cultural Academy for the Arts and Sciences,90,94,20,200,17,43,223,18,219,8.3,7.6,7.5,8,6.8,6.7,7.5,7.5,6,5.8,5.9,6.6,7,6.7,7,7.4
18K633,High School for Medical Professions,98,100,50,338,23,170,346,22,342,8.3,8.2,7.9,8.2,7.1,7.2,6.9,7.3,6.3,6.3,6.3,7.6,7.2,7.2,7,7.7
18K635,Olympus Academy,63,86,3,89,12,4,141,14,140,7.8,7.1,6.6,6.8,7.3,6.7,7.8,8.6,8,6.3,7.9,8.4,7.7,6.6,7.6,8.1
18K637,Academy for Conservation and the Environment,76,83,17,134,15,30,177,18,175,8.4,7.9,7.6,8.2,7.2,5.8,7,7.6,6.1,5.9,6,7.2,7.2,6.6,6.9,7.7
18K642,Urban Action Academy,70,80,43,175,16,102,251,20,237,8.2,7.3,7.1,7.7,6.8,5.7,5.9,6,6.1,5.9,6.6,7.2,7,6.3,6.5,7
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,59,83,15,110,15,27,187,18,183,8.9,8.5,8.4,9,7.4,6.4,8.1,8.4,7.8,7.3,7.7,8,8,7.4,8.1,8.5
18K922,South Shore Educational Complex Yabc,46,36,14,75,8,23,163,22,164,8.3,7.4,7.2,7.4,8.8,7.9,8.1,8.5,7.4,6.2,7.1,7.7,8.2,7.2,7.4,7.9
19K007,P.S. 007 Abraham Lincoln,85,65,55,469,0,65,722,8.9,8.1,7.8,8.5,7.6,7.1,7.3,7.8,8.3,7.6,7.6,8.1
19K013,P.S. 013 Roberto Clemente,88,29,38,121,0,43,424,8,7.7,7.6,7.9,6.9,7,7.4,8.1,7.5,7.4,7.5,8
19K065,P.S. 065,100,89,43,509,0,42,572,9.2,8.6,8.5,9,9.3,9.3,9.4,9.5,9.3,9,8.9,9.2
19K072,P.S./I.S. 072 Annette P Goldman,86,45,41,60,9,66,70,20,162,8.5,7.9,7.8,8,7,7.4,7.5,8,5.8,6.3,6,7.1,7.1,7.2,7.1,7.7
19K089,P.S. 089 Cypress Hills,96,50,64,76,16,175,79,32,275,8.9,8.3,8.2,8.4,7.3,6.2,6.6,7.1,7.1,6.2,7.1,7.8,7.8,6.9,7.3,7.7
19K108,P.S. 108 Sal Abbracciamento,97,82,67,607,0,69,743,9.2,8.7,8.4,8.9,7.7,7.4,7.8,8.2,8.5,8,8.1,8.6
19K149,P.S. 149 Danny Kaye,71,29,41,184,0,58,627,8.1,7.7,7.8,8.2,6.6,7.4,7.6,8,7.3,7.5,7.7,8.1
19K158,P.S. 158 Warwick,94,70,47,323,0,50,460,8.7,8.1,8.1,8.2,7.9,7.5,8,8.3,8.3,7.8,8.1,8.3
19K159,P.S. 159 Isaac Pitkin,91,46,58,338,0,64,728,8.5,7.8,7.7,8.2,8.1,8.2,8.2,8.4,8.3,8,7.9,8.3
19K166,J.H.S. 166 George Gershwin,91,76,50,448,34,236,491,45,468,7.6,7.5,7.5,7.5,5.6,5,5.7,6.7,5.9,6.1,7,7.4,6.3,6.2,6.7,7.2
19K171,I.S. 171 Abraham Lincoln,87,76,70,635,44,521,729,58,748,7.2,7.1,7.1,7.4,6.8,5.8,6.4,7.3,6.1,6.4,7,7.9,6.7,6.4,6.8,7.5
19K174,P.S. 174 Dumont,80,70,85,94,28,301,118,40,355,7.7,7.2,7.3,7.4,6.4,6.1,6.5,7.1,5.6,6,6,6.9,6.6,6.4,6.6,7.1
19K190,P.S. 190 Sheffield,68,66,19,150,0,28,227,8.4,7.8,7.8,8.3,7.3,7.4,7.7,7.9,7.8,7.6,7.8,8.1
19K202,P.S. 202 Ernest S. Jenkyns,90,66,88,220,41,617,245,62,699,8.6,8.3,8.1,8.4,6.3,6.2,6.9,7.6,5.5,5.9,6.6,7.2,6.8,6.8,7.2,7.7
19K213,P.S. 213 New Lots,76,71,26,282,0,34,396,8.5,7.9,8,8,5.3,5.3,5.5,6.7,6.9,6.6,6.7,7.3
19K214,P.S. 214 Michael Friedsam,79,71,62,535,0,78,756,8.9,8.3,8.2,8.5,7.9,8,8,8.3,8.4,8.1,8.1,8.4
19K218,J.H.S. 218 James P. Sinnott,81,69,24,466,29,130,573,42,533,7.2,7.4,7.3,7.7,5.7,5.2,6,7.5,5.4,5.6,6.4,7.3,6.1,6.1,6.6,7.5
19K224,P.S. 224 Hale A. Woodruff,100,35,68,70,23,444,70,65,652,8.6,7.8,8,8.1,7,6.4,6.8,7.2,7.4,8.1,8.3,8.9,7.7,7.4,7.7,8.1
19K260,P.S. 260 Breuckelen,92,52,45,33,16,114,36,31,254,8.1,7.6,7.3,7.6,7,5.7,6.1,6.8,7.1,7.5,8.1,8.3,7.4,6.9,7.2,7.6
19K273,P.S. 273 Wortman,100,44,38,155,0,38,354,8.8,8.2,8.2,8.3,8.5,8,8.1,8.4,8.6,8.1,8.2,8.4
19K290,P.S. 290 Juan Morel Campos,79,43,38,206,0,48,474,9,8.3,8,8.7,7.7,7.6,7.4,8,8.3,7.9,7.7,8.3
19K292,J.H.S. 292 Margaret S. Douglas,80,81,17,574,43,112,720,53,659,8,7.4,7.5,7.8,6.6,7,6.8,7.6,6,5.8,6.8,7.7,6.9,6.7,7,7.7
19K302,J.H.S. 302 Rafael Cordero,89,88,51,856,61,436,957,69,852,7.4,7.2,7.3,7.5,5.4,5.7,6.6,7.1,5.9,6,6.7,7.4,6.2,6.3,6.9,7.3
19K306,P.S. 306 Ethan Allen,98,65,46,190,37,229,194,57,494,7.8,7.5,7.6,7.9,5.8,6.3,6.1,6.7,5.3,6,6.5,7.2,6.3,6.6,6.7,7.3
19K311,Essence School,91,59,40,194,10,81,214,17,205,8.5,8.1,7.9,8.1,5.9,4.4,5.4,6.2,5.3,5.7,6.1,7.1,6.6,6.1,6.5,7.1
19K328,P.S. 328 Phyllis Wheatley,85,70,45,127,31,163,150,44,359,8.3,7.8,7.8,7.9,5.3,5,5.3,6.3,6.2,6.2,7.1,7.5,6.6,6.4,6.7,7.2
19K345,P.S. 345 Patrolman Robert Bolden,44,51,23,292,0,52,571,8.6,8.2,7.9,8.5,6.8,6.1,6.3,7.1,7.7,7.1,7.1,7.8
19K346,P.S. 346 Abe Stark,74,24,39,148,0,53,613,8.2,7.6,7.4,7.9,7.2,6.3,6.2,7.2,7.7,6.9,6.8,7.5
19K364,I.S. 364 Gateway,95,50,22,378,13,82,396,26,371,8.5,7.3,7.2,7.4,7.4,6.6,6.6,7.8,5.7,5.8,6.1,7.3,7.2,6.6,6.6,7.5
19K409,East New York Family Academy,79,88,51,330,28,197,416,32,389,8.5,7.5,7.6,7.8,8.1,7.1,7.2,7.8,6.7,6.2,6.7,7.5,7.8,6.9,7.2,7.7
19K420,Franklin K. Lane High School,64,57,16,228,24,56,355,42,347,7.5,7.6,7.6,7.9,6.2,5.6,5.9,6.6,6.3,5.5,6.4,7.1,6.6,6.2,6.6,7.2
19K431,Thomas Jefferson Yabc,58,88,14,111,23,26,192,26,184,8.6,7.9,7.5,7.9,9.2,9.4,9.5,9.7,8.8,7.6,8.6,8.7,8.9,8.3,8.5,8.8
19K452,Frederick Douglass Academy VIII Middle School,96,95,83,204,18,172,212,19,206,9,8.4,8.3,8.7,8.5,7.9,7.9,8.7,7.6,7,7.9,8.4,8.4,7.8,8,8.6
19K502,FDNY High School for Fire and Life Safety,73,92,37,270,24,130,371,26,355,7,7.5,7.1,7.4,5,5.2,5.2,5.6,5.4,5.4,5.7,6.8,5.8,6,6,6.6
19K504,High School for Civil Rights,69,100,35,273,24,127,395,24,368,7.7,7.7,7.5,7.9,7.9,7.6,7.9,8.4,6.4,6.1,6.8,7.5,7.3,7.2,7.4,7.9
19K507,Performing Arts and Technology High School,71,100,52,278,29,202,394,29,392,8,7.9,7.8,8.2,7.6,8.3,8.2,8.8,6.5,6,7.1,7.7,7.4,7.4,7.7,8.2
19K510,World Academy for Total Community Health High Scho,71,91,32,265,21,118,371,23,364,7.6,7,7,7.3,5.8,5.9,6.3,7.4,5.3,5.7,5.6,6.9,6.3,6.2,6.3,7.2
19K583,Multicultural High School,90,83,11,360,20,39,402,24,353,7.9,8.1,7.5,7.8,6.1,5.6,5.9,6.3,7.1,5.9,7,7.4,7,6.5,6.8,7.1
19K615,Transit Tech Career and Technical Education High S,51,75,15,713,66,200,1389,88,1357,7.4,7.2,7.1,7.3,6.2,6.6,6.8,7,5.3,5.4,5.9,6.7,6.3,6.4,6.6,7
19K618,Academy of Innovative Technology,49,83,22,139,24,61,285,29,280,7.6,7.9,7.7,8,6.6,6,6.9,7.3,6.4,6.2,7,7.5,6.9,6.7,7.2,7.6
19K639,Brooklyn Lab School,70,77,23,210,20,67,301,26,293,6.3,7.3,6.9,7,4.9,4.4,4.9,5.5,5.6,5.8,5.8,6.5,5.6,5.8,5.9,6.3
19K659,Cypress Hills Collegiate Preparatory School,73,93,39,293,27,160,399,29,410,7.7,7.7,7.3,7.7,5.7,5.4,6.2,6.9,6.6,6.6,7,7.4,6.7,6.6,6.8,7.3
19K660,W. H. Maxwell Career and Technical Education High,56,88,43,385,42,289,688,48,670,7.1,7.1,7.1,7.4,7,7.2,7.3,8.2,5.8,5.7,6,6.8,6.6,6.7,6.8,7.4
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,66,44,21,159,0,32,363,8.8,8.6,8.4,8.8,6.7,7.3,7.3,7.6,7.7,7.9,7.9,8.2
19K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,100,91,77,139,10,104,139,11,135,8.9,8.4,8.3,8.6,8.1,6.3,7.2,7.8,7.8,8,8.4,8.7,8.3,7.6,8,8.4
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, W",98,100,49,227,17,106,232,17,217,8.3,8,7.9,8.1,7.3,7.5,8.4,8.5,6.7,6.2,6.9,7,7.4,7.3,7.7,7.9
19K751,ACADEMY FOR HEALTH CAREERS,88,75,10,72,6,8,82,8,80,9.2,8,7.5,8,5.7,6.2,6.7,6.8,5.8,5.9,6.3,7,6.9,6.7,6.8,7.3
20K030,I.S. 30 Mary White Ovington,96,63,63,328,17,200,340,27,317,8.2,7,7.1,7.2,7.7,6,7.2,7.6,6.6,6.1,6.7,7.4,7.5,6.3,7,7.4
20K048,P.S. 048 Mapleton,91,94,39,497,0,43,529,8.6,7.5,7.4,7.7,7.7,6.1,6.8,7,8.2,6.8,7.1,7.4
